DateTime => Severity: Code | Message;
2023-12-21 22:24:37 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:25:07 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:25:08 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:25:08 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:26:12 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:26:13 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:26:13 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:26:13 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:26:21 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:26:21 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:26:22 => Warning: 404 | http://localhost/Dionise/Establishmentzb/2;
2023-12-21 22:34:29 => Warning: 404 | http://localhost/Dionise/Establishmentzbz/2;
2023-12-21 22:34:29 => Warning: 404 | http://localhost/Dionise/Establishmentzbz/2;
2023-12-21 22:34:29 => Warning: 404 | http://localhost/Dionise/Establishmentzbz/2;
2023-12-21 22:35:33 => Warning: 404 | http://localhost/Dionise/Establishmentzbz/2;
2023-12-21 22:35:33 => Warning: 404 | http://localhost/Dionise/Establishmentzbz/2;
2023-12-21 23:55:55 => Informational: 200 | http://localhost/Dionise/;
